date,heat_index,heat_index_sum,heat_index_std,heat_index99,heat_index95,temperature_mean,temperature_max,temperature_min,wind_speed_mean,humidity_mean,lag_heat_index_1,lag_heat_index_2,lag_heat_index_3
2009-10,18.51970430107527,13778.66,4.841552526620976,33.3071,28.1155,18.65766129032258,34.1,10.2,1.7143817204301075,73.12231182795699,16.57345833333333,15.987419354838709,11.190927419354837
2009-11,23.58125,16978.5,4.043740414988434,36.66389999999999,32.26,22.904444444444444,35.0,16.0,1.6344444444444444,79.4375,18.51970430107527,16.57345833333333,15.987419354838709
2009-12,24.29170698924731,18073.03,4.823780696170016,36.6871,33.755,23.51088709677419,34.2,13.3,1.748790322580645,74.61962365591398,23.58125,18.51970430107527,16.57345833333333
2010-01,25.885967741935485,19259.16,4.171026240227937,36.87520000000002,34.12,24.804166666666667,34.0,17.8,1.564516129032258,75.03225806451613,24.29170698924731,23.58125,18.51970430107527
2010-02,27.98519345238095,18806.05,6.032722095295205,42.78189999999999,39.70549999999999,26.278720238095236,38.2,14.0,1.5169642857142858,71.76190476190476,25.885967741935485,24.29170698924731,23.58125
2010-03,24.01065860215054,17863.93,3.298100227516881,32.072400000000016,30.0855,23.423924731182797,32.6,13.9,1.4809139784946237,76.93682795698925,27.98519345238095,25.885967741935485,24.29170698924731
2010-04,20.22629166666667,14562.93,4.706169093488786,32.68959999999999,29.345999999999993,20.13361111111111,33.0,9.5,1.1872222222222222,75.59861111111111,24.01065860215054,27.98519345238095,25.885967741935485
2010-05,17.1272311827957,12742.66,2.967967863461769,24.402800000000003,22.437,17.181451612903224,25.3,10.2,1.4801075268817205,83.17876344086021,20.22629166666667,24.01065860215054,27.98519345238095
2010-06,14.593930555555554,10507.63,3.9263162931120834,24.861499999999992,20.985499999999995,14.950416666666666,26.9,4.5,1.176111111111111,80.07638888888889,17.1272311827957,20.22629166666667,24.01065860215054
2010-07,14.03008064516129,10438.38,5.3515778726465575,27.175700000000003,23.9185,14.475940860215054,29.8,3.5,1.3440860215053763,78.02150537634408,14.593930555555554,17.1272311827957,20.22629166666667
2010-08,13.946841397849463,10376.45,5.283239717021821,28.4614,23.2055,14.446639784946235,32.6,3.0,1.3370967741935482,76.67204301075269,14.03008064516129,14.593930555555554,17.1272311827957
2010-09,17.040263888888887,12268.99,3.099140050731626,24.63199999999999,22.1605,17.21472222222222,26.6,9.6,1.7965277777777777,78.39027777777778,13.946841397849463,14.03008064516129,14.593930555555554
2010-10,17.79584677419355,13240.11,3.78165762726723,26.40740000000004,24.579000000000004,18.029032258064518,27.5,8.7,1.5283602150537634,72.88844086021506,17.040263888888887,13.946841397849463,14.03008064516129
2010-11,20.626375,14850.99,4.491959195199257,32.0372,28.1025,20.706805555555555,34.9,11.0,1.6904166666666665,68.97083333333333,17.79584677419355,17.040263888888887,13.946841397849463
2010-12,23.794516129032257,17703.12,4.604983231199852,33.8414,31.557,23.300940860215057,35.0,11.9,1.9096774193548387,71.04569892473118,20.626375,17.79584677419355,17.040263888888887
2011-01,27.004193548387097,20091.12,4.331689066606287,38.34700000000001,35.908,25.59744623655914,36.0,20.6,1.630779569892473,76.6491935483871,23.794516129032257,20.626375,17.79584677419355
2011-02,25.688809523809525,17262.88,3.832155939803762,37.9458,32.94749999999999,24.592559523809523,35.6,18.1,1.5686011904761903,78.05505952380952,27.004193548387097,23.794516129032257,20.626375
2011-03,23.21755376344086,17273.86,3.8796895554804065,33.5555,31.189000000000004,22.77728494623656,32.7,14.2,1.7294354838709678,74.04838709677419,25.688809523809525,27.004193548387097,23.794516129032257
2011-04,20.441902777777777,14718.17,3.7929480156975046,30.24349999999998,27.331999999999997,20.247222222222224,30.0,11.3,1.0033333333333334,78.7875,23.21755376344086,25.688809523809525,27.004193548387097
2011-05,16.302674731182798,12129.19,3.391817240881103,25.18830000000001,22.003500000000003,16.486021505376346,27.3,9.5,1.0643817204301076,80.76478494623656,20.441902777777777,23.21755376344086,25.688809523809525
2011-06,13.19323611111111,9499.13,4.3386453344075315,22.959099999999996,20.532,13.685555555555556,25.7,4.4,1.1929166666666666,79.70972222222223,16.302674731182798,20.441902777777777,23.21755376344086
2011-07,12.543306451612903,9332.22,5.105956733763485,25.60260000000001,20.807,12.952016129032257,28.0,2.0,1.3038978494623656,82.7258064516129,13.19323611111111,16.302674731182798,20.441902777777777
2011-08,14.006868279569893,10421.11,4.9919946685990055,28.909800000000004,22.133000000000003,14.43736559139785,32.2,2.5,1.8190860215053766,79.2002688172043,12.543306451612903,13.19323611111111,16.302674731182798
