date,hospitalizations,hospitalizations_lag_3,average_stay_lag_3,deaths_lag_3,mortality_rate_lag_3,hospitalizations_lag_3_12m_window,average_stay_lag_3_12m_window,deaths_lag_3_12m_window,mortality_rate_lag_3_12m_window,heat_index,heat_index_sum,heat_index_std,heat_index99,heat_index95,temperature_mean,temperature_max,temperature_min,wind_speed_mean,humidity_mean,lag_heat_index_1,lag_heat_index_2,lag_heat_index_3
2012-08-01,3656.0,3368.0,6.0,280.0,8.31,3368.1666666666665,6.05,275.9166666666667,8.166666666666666,18.773091397849463,13967.18,5.498519743270903,30.2599,28.507,18.946236559139784,32.7,7.3,1.1780913978494625,72.61559139784946,12.547889784946236,14.270458333333332,18.490752688172044
2012-09-01,3281.0,3486.0,6.4,307.0,8.81,3370.6666666666665,6.066666666666666,275.4166666666667,8.145833333333334,17.61265277777778,12681.11,4.389210572314183,28.46769999999999,25.265999999999995,17.815555555555555,31.4,7.5,1.8086111111111112,74.52638888888889,18.773091397849463,12.547889784946236,14.270458333333332
2012-10-01,3154.0,3476.0,6.2,310.0,8.92,3364.75,6.058333333333334,273.0833333333333,8.095,21.057768817204305,15666.98,4.15111207857344,32.58,29.1455,20.837096774193547,33.0,12.8,1.7114247311827957,75.54569892473118,17.61265277777778,18.773091397849463,12.547889784946236
2012-11-01,3471.0,3656.0,6.5,312.0,8.53,3379.25,6.066666666666667,272.5833333333333,8.045,23.08286111111111,16619.66,4.56796450624732,34.25739999999997,30.967499999999998,22.87722222222222,34.4,13.7,1.7294444444444446,68.2375,21.057768817204305,17.61265277777778,18.773091397849463
2012-12-01,2837.0,3281.0,6.8,278.0,8.47,3349.25,6.125,271.3333333333333,8.08,26.10865591397849,19424.84,5.631095179012055,41.85740000000004,36.4795,25.17163978494624,38.6,16.0,1.6959677419354835,69.52016129032258,23.08286111111111,21.057768817204305,17.61265277777778
2013-01-01,3054.0,3154.0,6.2,283.0,8.97,3322.333333333333,6.108333333333334,269.9166666666667,8.108333333333334,24.299879032258065,18079.11,4.321185422746431,34.40120000000001,31.724,23.84193548387097,35.9,14.5,1.7544354838709677,68.30645161290323,26.10865591397849,23.08286111111111,21.057768817204305
2013-02-01,2905.0,3471.0,6.1,284.0,8.18,3321.583333333333,6.1000000000000005,270.75,8.134166666666667,25.25046130952381,16968.31,4.333875326511337,36.164599999999936,33.37,24.401934523809523,37.4,14.9,1.7205357142857145,72.82440476190476,24.299879032258065,26.10865591397849,23.08286111111111
2013-03-01,3361.0,2837.0,6.2,238.0,8.39,3289.6666666666665,6.116666666666667,273.3333333333333,8.2975,21.71913978494624,16159.04,3.5431567027922357,31.3671,28.6225,21.462365591397848,32.8,14.9,1.4721774193548387,76.15053763440861,25.25046130952381,24.299879032258065,26.10865591397849
2013-04-01,3386.0,3054.0,5.9,254.0,8.32,3288.1666666666665,6.125,274.8333333333333,8.350833333333334,20.48843055555556,14751.67,4.247373978288628,30.769099999999995,27.814,20.39402777777778,31.1,10.2,1.382638888888889,74.05833333333334,21.71913978494624,25.25046130952381,24.299879032258065
2013-05-01,3426.0,2905.0,6.1,242.0,8.33,3261.6666666666665,6.166666666666667,273.0833333333333,8.365,16.35899193548387,12171.09,4.661085650365432,28.935800000000047,23.777,16.571102150537634,30.3,5.7,1.0916666666666668,78.58198924731182,20.48843055555556,21.71913978494624,25.25046130952381
